Analog register    1:   16.6 °C   Supply temperature (Air/Ground); Remarks: Depending on source type
Analog register    2:   15.9 °C   Inlet temperature Ground; Remarks: 
Analog register    3:   18.8 °C   Heating temperature Out; Remarks: 
Analog register    4:   18.2 °C   Heating temperature In; Remarks: 
Analog register    5:   19.1 °C   Compressor suction temperature; Remarks: 
Analog register    6:    6.6 bar  Compressor suction pressure (low pressure); Remarks: 
Analog register    7:    7.0 bar  Compressor discharge pressure (high pressure); Remarks: 
Analog register    8: 5556.7 °C   DHW temperature; Remarks: 
Analog register    9:    0.0 %    Airunit speed; Remarks: 
Analog register   11:   14.6 °C   Outside temperature; Remarks: 
Analog register   12:    0.0 °C   Recirculation temperature; Remarks: Depending on installation register might be used by recirculation
Analog register   13:    1.8 bar  Brine circuit pressure; Remarks: 
Analog register   14:    1.8 bar  Heating circuit pressure; Remarks: 
Analog register   15:    5.0 °C   DHW ΔT start; Remarks: 
Analog register   17:   56.0 °C   DHW set temperature; Remarks: 
Analog register   19:   28.0 °C   Pool temperature; Remarks: 
Analog register   22:   20.0 °C   Stop temperature for heating; Remarks: 
Analog register   24: 6546.6 °C   Brine minimum temperature; Remarks: 
Analog register   25:    0.5 bar  Brine minimum pressure; Remarks: 
Analog register   26:    0.5 bar  Production minimum pressure; Remarks: 
Analog register   29:   15.9 °C   Inlet temperature air unit ; Remarks: 
Analog register   30:    0.0 -    Compressor COP; Remarks: 
Analog register   31:    0.0 -    Compressor PF; Remarks: 
Analog register   34:   21.0 °C   DG 1 Supply temperature heat curve bottom & maximum outdoor temp; Remarks: 
Analog register   35: 6548.6 °C   DG 1 Outdoor temperature heat curve bottom; Remarks: 
Analog register   36:   45.0 °C   DG 1 Supply temperature heat curve top; Remarks: 
Analog register   37:   35.0 °C   SG 2 Supply temperature heat curve top; Remarks: 
Analog register   38:   20.0 °C   Floor drying  phase 1 temperature; Remarks: 
Analog register   39:   20.0 °C   Floor drying  phase 2 temperature; Remarks: 
Analog register   40:   20.0 °C   Floor drying  phase 3 temperature; Remarks: 
Analog register   41:   20.0 °C   Floor drying  phase 4 temperature; Remarks: 
Analog register   42:   20.0 °C   Recirculation Set Temperature; Remarks: 
Analog register   42:   20.0 °C   Floor drying  phase 5 temperature; Remarks: Depending on installation register might be used by recirculation
Analog register   43:   20.0 °C   Recirculation. ΔT start; Remarks: 
Analog register   43:   20.0 °C   Floor drying  phase 6 temperature; Remarks: Depending on installation register might be used by recirculation
Analog register   46:   10.0 °C   Aerothermal stop temperature; Remarks: 
Analog register   47: 6453.7 °C   Geothermal protection minimum temperature; Remarks: 
Analog register   50:    3.0 °C   Cooling - ΔT dew opoint; Remarks: 
Analog register   54:    7.0 °C   DG 1 Supply Temparature Fixed Temp Cool; Remarks: 
Analog register   55:    5.0 °C   Cooling buffer ΔT start; Remarks: 
Analog register   58:    5.0 °C   Heating buffer ΔT start; Remarks: 
Analog register   59:   65.0 °C   DHW Set HTR temperature; Remarks: 
Analog register   60:   45.0 °C   SG 2 Supply Temparature Fixed Temp Heating; Remarks: 
Analog register   61: 6552.6 °C   SG 2 Outdoor Temperature Heat Curve Left; Remarks: 
Analog register   63:   18.0 °C   DG 1 Supply Temperature Cool Curve Top; Remarks: 
Analog register   64:   18.0 °C   DG 1 Supply Temperature Cool Curve Bottom; Remarks: 
Analog register   65:   18.0 °C   DG 1 Outdoor Temperature Cool Curve Left; Remarks: 
Analog register   66:   18.0 °C   DG 1 Outdoor Temperature Cool Curve Right; Remarks: 
Analog register   67:   12.0 °C   SG 2 Supply Temperature Cool Curve Top; Remarks: 
Analog register   68:    7.0 °C   SG 2 Supply Temparature Fixed Temp Cool; Remarks: 
Analog register   69:    7.0 °C   SG 2 Supply Temperature Cool Curve Bottom; Remarks: 
Analog register   70:   25.0 °C   SG 2 Outdoor Temperature Cool Curve Left; Remarks: 
Analog register   71:   35.0 °C   SG 2 Outdoor Temperature Cool Curve Right; Remarks: 
Analog register   72:   65.0 °C   Antilegionela setpoint; Remarks: 
Analog register   73:   45.0 °C   DG 1 Supply Temparature Fixed Temp Heating; Remarks: 
Analog register   74:    0.0 %    Compressor capacity DHW minimum; Remarks: 
Analog register   75:   60.0 %    Compressor capacity DHW maximum; Remarks: 
Analog register   76:    0.0 %    Compressor capacity Heating minimum; Remarks: 
Analog register   77:   80.0 %    Compressor capacity Heating maximum; Remarks: 
Analog register   78:    0.0 %    Compressor capacity Coolig minimum; Remarks: 
Analog register   79:   80.0 %    Compressor capacity Coolig maximum; Remarks: 
Analog register   80:    0.0 %    Compressor capacity Pool minimum; Remarks: 
Analog register   81:    0.0 %    Compressor capacity Pool maximum; Remarks: 
Analog register   87:    5.0 °C   Production minimum temperature; Remarks: 
Analog register   88:   50.0 %    Brine pomp minimum capacity; Remarks: 
Analog register   89:  100.0 %    Brine pomp maximum capacity; Remarks: 
Analog register   90:   50.0 %    Production pomp minimum capcity; Remarks: 
Analog register   91:  100.0 %    Production pomp maximum capcity; Remarks: 
Analog register   93:   38.0 °C   SG 3 Supply temperature heat curve top; Remarks: 
Analog register   94:   18.4 °C   Condensation temperature; Remarks: 
Analog register   95:   14.0 °C   winter/summer switch temperature winter; Remarks: 
Analog register   96:   21.0 °C   winter/summer switch temperature summer; Remarks: 
Analog register   97:   28.9 °C   Heating set temperature DG 1; Remarks: 
Analog register   98:   18.0 °C   Cooling set temperature DG 1; Remarks: 
Analog register   99:    0.0 °C   Cooling set temperature SG 2; Remarks: 
Analog register  102:   21.0 °C   SG 3 Supply temperature heat curve bottom & maximum outdoor temperature; Remarks: 
Analog register  103: 6543.6 °C   SG 3 Outdoor temperature heat curve left; Remarks: 
Analog register  105:   45.0 °C   SG 3 Supply temperature fixed temperature heating; Remarks: 
Analog register  106:   45.0 °C   SG 4 Supply temperature fixed temperature heating; Remarks: 
Analog register  107:   35.0 °C   SG 3 Supply temperature heat curve top; Remarks: 
Analog register  108:   21.0 °C   SG 4 Supply temperature heat curve bottom & maximum outdoor temperature; Remarks: 
Analog register  109: 6552.6 °C   SG 4 Outdoor temperature heat curve left; Remarks: 
Analog register  111:   25.0 °C   SG 3 Outdoor temperature cool curve left; Remarks: 
Analog register  112:   35.0 °C   SG 3 Outdoor temperature cool curve right; Remarks: 
Analog register  113:   18.0 °C   SG 3 Supply temperature cool curve top; Remarks: 
Analog register  114:   18.0 °C   SG 3 Supply temperature cool curve bottom; Remarks: 
Analog register  115:   25.0 °C   SG 4 Outdoor temperature cool curve left; Remarks: 
Analog register  116:   35.0 °C   SG 4 Outdoor temperature cool curve right; Remarks: 
Analog register  117:   12.0 °C   SG 4 Supply temperature cool curve top; Remarks: 
Analog register  118:    7.0 °C   SG 4 Supply temperature cool curve bottom; Remarks: 
Analog register  119:    7.0 °C   SG 3 Supply temperature fixed temperature cooling; Remarks: Depending on installation register might be used for pool
Analog register  119:    7.0 °C   Pool set temperature; Remarks: Depending on installation register might be used for SG 3
Analog register  120:    0.0 °C   Cooling set temperature SG 3; Remarks: Depending on installation register might be used for pool
Analog register  120:    0.0 °C   Pool _T start; Remarks: Depending on installation register might be used for SG 3
Analog register  122:    7.0 °C   SG 4 Supply temperature fixed temperature cooling; Remarks: 
Analog register  123:    0.0 °C   Cooling set temperature SG 4; Remarks: 
Analog register  125:   20.0 °C   Stop Temperature for active cooling; Remarks: 
Analog register  126:   18.0 °C   Stop Temperature for passive cooling; Remarks: 
Analog register  130: 5553.7 °C   SG3 Set temperature active cooling; Remarks: 
Analog register  132:    2.6 K    Super heat; Remarks: 
Analog register  133:    0.0 %    Expansion valve; Remarks: multiply by 10
Analog register  144:    0.5 °C   Roomterminal T1 _T start; Remarks: 
Analog register  145:    0.5 °C   Roomterminal T2 _T start; Remarks: 
Analog register  146:    0.5 °C   Roomterminal T3 _T start; Remarks: 
Analog register  147:    0.5 °C   Roomterminal T4 _T start; Remarks: 
Analog register  148:    4.0 °C   Aerothermal _T air unit; Remarks: 
Analog register  150:    2.0 -    Roomterminal DG 1 _T S/W on/off; Remarks: 
Analog register  151:    2.0 -    Roomterminal SG 2 _T S/W on/off; Remarks: 
Analog register  152:    2.0 -    Roomterminal SG 3 _T S/W on/off; Remarks: 
Analog register  153:    2.0 -    Roomterminal SG 4 _T S/W on/off; Remarks: 
Analog register  154:   10.0 °C   Heating - _T Heating; Remarks: 
Analog register  155:    0.0 °C   Heating - _T Supply; Remarks: 
Analog register  156:    3.0 °C   Cooling - _T Cooling; Remarks: 
Analog register  157:    0.0 °C   Cooling - _T Supply; Remarks: 
Analog register  158: 6548.6 °C   Bivalent Parallel; Remarks: 
Analog register  159:    3.0 °C   Bivalent _T Start; Remarks: 
Analog register  160: 6453.7 °C   Bivalent Replacement; Remarks: 
Analog register  161:   25.0 °C   Brine maximun temperature; Remarks: 
Analog register  175:  100.0 %    Heatpump night time compressor limitation; Remarks: Min and Max rage can vary on HP Model and or Firmware
Analog register  176:    0.0 °C   Roomterminal DG 1 setpoint temperature; Remarks: 
Analog register  177:    0.0 °C   Roomterminal SG 2 setpoint temperature; Remarks: 
Analog register  178:    0.0 °C   Roomterminal SG 3 setpoint temperature; Remarks: 
Analog register  179:    0.0 °C   Roomterminal SG 4 setpoint temperature; Remarks: 
Analog register  182:    0.0 %    Ventilator rpm; Remarks: 
Analog register  184:    3.0 °C   Captation ΔT source; Remarks: 
Analog register  185:    0.0 °C   Cooling buffer set temperature; Remarks: 
Analog register  186:    0.0 °C   Roomterminal DG 1 real temperature; Remarks: 
Analog register  187:    0.0 °C   Roomterminal SG 2 real temperature; Remarks: 
Analog register  188:    0.0 °C   Roomterminal SG 3 real temperature; Remarks: 
Analog register  189:    0.0 °C   Roomterminal SG 4 real temperature; Remarks: 
Analog register  190:    0.0 %    Roomterminal DG 1 RH; Remarks: 
Analog register  191:    0.0 %    Roomterminal SG 2 RH; Remarks: 
Analog register  192:    0.0 %    Roomterminal SG 3 RH; Remarks: 
Analog register  193:    0.0 %    Roomterminal SG 4 RH; Remarks: 
Analog register  194: 5553.7 °C   Heating / Cooling SG 2 real temperature; Remarks: 
Analog register  195: 5553.7 °C   Heating / Cooling SG 3 real temperature; Remarks: 
Analog register  196: 5553.7 °C   Heating / Cooling SG 4 real temperature; Remarks: 
Analog register  197:   18.8 °C   Cooling DG 1 real temperature; Remarks: 
Analog register  198: 6448.7 °C   DHW start compressor on temperature; Remarks: 
Analog register  199:   16.5 °C   Evaporation temperature; Remarks: 
Analog register  200: 5553.7 °C   Heating buffer real temperature; Remarks: 
Analog register  201: 5553.7 °C   Cooling buffer real temperature; Remarks: 
Analog register  202:    0.0 -    Compressor EER (active cooling); Remarks: 
Analog register  203:   22.2 °C   Compresor discharge temperature; Remarks: 
Analog register  204: 6552.3 °C   Air unit ΔT temperature; Remarks: 
Analog register  267:    0.0 %    Manual Test - Boiler; Remarks: 
Integer register 5002:      0 rpm  Compressor RPM; Remarks: 
Integer register 5004:      0 °C   Scroll Temp.; Remarks: According to Official ModbusList
Integer register 5005:     25 °C   Inverter temperature; Remarks: 
Integer register 5024:      2 int  Heatpump Program Mode; Remarks:  0=Winter |  1=Summer |  2=Auto |  3=Mixed |  4=Remote
Integer register 5033:      0 %    Production Pump; Remarks: /10
Integer register 5034:      0 %    Source Pump; Remarks: /10
Integer register 5049:      2 -    DG 1 - Heating Terminal; Remarks:  0=vvw |  1=fancoil |  2=radiators
Integer register 5050:      0 -    SG 2 - Heating Terminal; Remarks:  0=vvw |  1=fancoil |  2=radiators
Integer register 5051:      0 -    DG 1 - Cool Terminal; Remarks:  0=vvw |  1=fancoil |  2=radiators
Integer register 5052:      0 -    SG 2 - Cooling Terminal; Remarks:  0=vvw |  1=fancoil |  2=radiators
Integer register 5053:      2 -    Building Insulation; Remarks: 0=Good |  1=Bad |  2=Moderate
Integer register 5057:     30 D    Heatpump Trial Period Days; Remarks: 
Integer register 5058:      1 -    Heatpump ON/OFF; Remarks: 0=OFF| 1=ON |  2=Emergency
Integer register 5060:      3 H    DHW Legionella treatment TIME; Remarks: 
Integer register 5065:    289 °C   Heating buffer set temperature; Remarks: /10
Integer register 5066:      0 °C   Heating set temperature SG 2; Remarks: 
Integer register 5067:     10 Min  Pool winter program min per hour; Remarks: 
Integer register 5080:    126 -    Compressor Working Hours L; Remarks: 
Integer register 5081:      0 -    Compressor Working Hours H; Remarks: 
Integer register 5082:      8 W    Energy meter - Electric energy compressor; Remarks: 
Integer register 5083:      0 W    Energy meter - Useful heat power; Remarks: 
Integer register 5090:      0 %    Manual Test - Source Pump DO1; Remarks: /10
Integer register 5091:      0 %    Manual Test - Production?Buffer Pump DO2; Remarks: /10
Integer register 5092:      1 -    Roomterminal SG 3 Interior Compensation _1; Remarks: 
Integer register 5093:     21 H    Heatpump current hour; Remarks: 
Integer register 5094:     45 Min  Heatpump current minute; Remarks: 
Integer register 5095:     13 D    Heatpump current day; Remarks: 
Integer register 5096:     11 M    Heatpump current month; Remarks: 
Integer register 5097:     25 YY   Heatpump current year; Remarks: 
Integer register 5098:      0 H    Heatpump set current hour; Remarks: Before altering set COIL 95 to 1
Integer register 5099:      0 Min  Heatpump set current minute; Remarks: Before altering set COIL 94 to 1
Integer register 5100:      1 D    Heatpump set current day; Remarks: Before altering set COIL 96 to 1
Integer register 5101:      1 M    Heatpump set current month; Remarks: Before altering set COIL 97 to 1
